Category,tag,parent_tag,num_children,num_siblings,dom_depth,class_str,id_str,text_len,text_word_count,text_digit_count,has_currency_symbol,is_price_format,text_density,reading_ease,has_href,is_image
title,h2,div,0,2,8,,11542,44,8,10,0,0,44.0,103.04428571428575,0,0
title,h2,div,0,3,8,,11541,23,4,0,0,0,23.0,75.87500000000001,0,0
title,h2,div,0,2,8,,11540,39,6,0,0,0,39.0,-38.954999999999984,0,0
title,h2,div,0,2,8,,11536,44,9,0,0,0,44.0,54.70142857142861,0,0
title,h2,div,0,2,8,,11535,44,5,0,0,0,44.0,12.425000000000011,0,0
title,h2,div,0,3,8,,11534,16,3,0,0,0,16.0,34.59000000000003,0,0
title,h2,div,0,2,8,,1073,44,9,3,0,0,44.0,54.70142857142861,0,0
title,h2,div,0,2,8,,6303,44,7,0,0,0,44.0,87.94500000000002,0,0
title,h2,div,0,2,8,,6195,44,7,0,0,0,44.0,17.44500000000002,0,0
title,h2,div,0,2,8,,11188,44,9,0,0,0,44.0,42.61571428571432,0,0
title,h2,div,0,2,8,,11479,27,3,8,0,0,27.0,119.19000000000003,0,0
title,h2,div,0,2,8,,8546,44,6,2,0,0,44.0,15.640000000000015,0,0
price,h1,div,0,0,9,,,6,2,2,0,0,6.0,120.20500000000001,0,0
price,h1,div,0,0,9,,,6,2,2,0,0,6.0,120.20500000000001,0,0
price,h1,div,0,0,9,,,6,2,2,0,0,6.0,120.20500000000001,0,0
price,h1,div,0,0,9,,,6,2,2,0,0,6.0,120.20500000000001,0,0
price,h1,div,0,0,9,,,6,2,2,0,0,6.0,120.20500000000001,0,0
price,h1,div,0,0,9,,,7,2,3,0,0,7.0,120.20500000000001,0,0
price,h1,div,0,0,9,,,6,2,2,0,0,6.0,120.20500000000001,0,0
price,h1,div,0,0,9,,,7,2,3,0,0,7.0,120.20500000000001,0,0
price,h1,div,0,0,9,,,6,2,2,0,0,6.0,120.20500000000001,0,0
price,h1,div,0,0,9,,,4,1,0,0,0,4.0,121.22000000000003,0,0
price,h1,div,0,0,9,,,4,1,0,0,0,4.0,121.22000000000003,0,0
price,h1,div,0,0,9,,,4,1,0,0,0,4.0,121.22000000000003,0,0
price,h1,div,0,0,9,,,4,1,0,0,0,4.0,121.22000000000003,0,0
price,h1,div,0,0,9,,,4,1,0,0,0,4.0,121.22000000000003,0,0
